문서 인덱스,문서 제목,수집 채널,원문 폴더의 문서 링크,임베딩 링크
1,[필수 교육] 제17기 부산센터 연수생 디자인씽킹(Design Thinking) 교육 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36095&menuNo=200038&pageIndex=2,https://drive.google.com/file/d/1P7t0tnL3mdjR2JC7wTTlbeBp0cg--Ar3/view,https://drive.google.com/file/d/1U0-M4zaNdBaaZRjdDJfi7DhVH37eh9iH/view
2,[센터] 개발공간(외부) 이용 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36098&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1DY514SJHiZp3zNh5M8xDhk7Qf8UxUbC9/view,https://drive.google.com/file/d/1c7cQ2tyY-W7nQPlZH6vGLxKhFG3q3DuS/view
3,[연수생 합격자] 제출서류 및 입력사항 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36100&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1rhE1gxPxqBoa92u34ifjzSHJ6Wx6_myT/view,https://drive.google.com/file/d/1jGeZEL-XTpO0bsLpz2rPHgSuafrSbZt7/view
4,[멘토링 및 멘토특강] 예비과정 자유 멘토링 및 멘토 특강 신청 및 참여 방법,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36114&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1KzJLQ3lziscMBetwj6PCbg_xEUWJT0XJ/view,https://drive.google.com/file/d/1uSpTVwUrr_GZOOTv1ByVMhrQ4kfUkCjX/view
5,[연락처] 제17기 연수생 - 멘토 - 엑스퍼트 - 사무국 소개 노션 페이지,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36218&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/19NPJHKzvvDVhrTls5Bq6kwH7hw8rkpDq/view,https://drive.google.com/file/d/1MAjoSK9AFluz2Jj4JSAaYa1nhW-NQAWJ/view
6,[엑스퍼트] 2026년 AI·SW마에스트로 엑스퍼트-연수생 매칭 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36274&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/14rNv3rfApRbwTLdQoT69O18Cfv9Qn4Xd/view,https://drive.google.com/file/d/18zryiTWHMCmrqJmU_VD0TD5DVDpent1c/view
7,[엑스퍼트] 2026년 AI·SW마에스트로 엑스퍼트-연수생 매칭 결과 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36281&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1VfqjrwDLsW4mGGfqkSGvhWQfZaGQ6SuU/view,https://drive.google.com/file/d/1V-vlYvhWymsRL7iSvVi6n443zhF5A7sd/view
8,[센터/시스템] Webex 사용 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36090&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1DX4BDrUMCI7FEXAy4VVjDm5oNkgZZEMV/view,https://drive.google.com/file/d/1WQaa-h_04lsR3SdnlN6OraYK_8oJNXsB/view
9,[자료] 제17기 부산센터 연수생 오리엔테이션 자료 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36275&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1FgqGXugUK-sWBUnSNLdJM399Ve_8EBwE/view,https://drive.google.com/file/d/1_j2jcTvr9FCQJGtxEnJQIlNX9qDM9cx5/view
9-1,★연수생 오리엔테이션 PPT (첨부파일),https://www.swmaestro.ai/busan/sw/cmmn/file/fileDown.do?menuNo=200038&atchFileId=7641b01d7e294862b495656a841223dc&fileSn=1,https://drive.google.com/file/d/1KJ4Pqncv8_rBn3lTQBwczCMLZ5IatR4d/view?usp=drive_link,https://drive.google.com/file/d/1stQKxJwrUcGAOkPa0uFpukjo_h6cSMCP/view?usp=drive_link
10,[팀] 프로젝트 팀 구성 안내(연수생 및 기술 멘토),https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36276&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1eZ8CZcQ1b_i_lG1oxrQQLD5AL_A3dTkx/view,https://drive.google.com/file/d/1NDTd5YJeMRS_zETKPnJdpkWgaE-HOjgU/view
11,[필수 교육] (데모데이 시간 1시간 변경) 제17기 부산센터 연수생 AI 기술 교육 안내,https://www.swmaestro.ai/busan/sw/mypage/myNotice/view.do?nttId=36278&menuNo=200038&pageIndex=1,https://drive.google.com/file/d/1DLXECTjDG131S7e_Vp8FWIXP3no2KRGY/view,https://drive.google.com/file/d/1Ye0Te5i9Ae0fVcDMh2aq4vJu2qz3jPDr/view
